model,type,epochs,final_train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,model_path
albert,base,1,0.3845135603024035,0.2836667687004926,0.88284,0.8830710660153657,0.88284,0.8828223297948173,trained_models/sentiment_imdb/albert_base_e1_lr0.0005/20240921_060741_base.pth
albert,ate,1,0.4115309842282416,0.310999863914081,0.86744,0.8705327066678964,0.86744,0.8671628136378964,trained_models/sentiment_imdb/albert_ate_e1_lr0.0005/20240921_213127_ate.pth
albert,base,2,0.30060548730650727,0.2729649485982194,0.88804,0.8880653353887125,0.88804,0.888038172603838,trained_models/sentiment_imdb/albert_base_e2_lr0.0005/20240921_2roberta,ate,2,0.albert,ate,2,0.41152852377833177,0.28691698565166823,0.87964,0.8802508373787705,0.87964,0.8795916438115012,trained_models/sentiment_imdb/albert_ate_e2_lr0.0005/20240922_170409_ate.pth
albert,base,5,0.2811840279978149,0.2592718031029312,0.8934,0.8934333001945284,0.8934,0.8933977442962694,trained_models/sentiment_imdb/albert_base_e5_lr0.0005/20240922_180roberta,ate,5,albert,ate,5,0.36715943254141803,0.287966325422939,0.8808,0.8809597861154743,0.8808,0.8807874996633247,trained_models/sentiment_imdb/albert_ate_e5_lr0.0005/20240923_112938_ate.pth
bert,base,1,0.45145725899813127,0.3515305304709746,0.8466,0.8497861296592085,0.8466,0.8462498804738151,trained_models/sentiment_imdb/bert_base_e1_lr0.0005/20240923_113528_base.pth
bert,ate,1,0.4106533641671299,0.3389606168683694,0.85148,0.8519061724510851,0.85148,0.8514350204667965,trained_models/sentiment_imdb/bert_ate_e1_lr0.0005/20240923_122112_ate.pth
bert,base,2,0.38280012656231316,0.36802951763479075,0.83752,0.8478490944585262,0.83752,0.8363048012274107,trained_models/sentiment_imdb/bert_base_e2_lr0.0005/20240923_122857_base.pth
bert,ate,2,0.3956958383575482,0.3390979397357727,0.84856,0.8534481024290492,0.84856,0.848034588708384,trained_models/sentiment_imdb/bert_ate_e2_lr0.0005/20240923_135633_ate.pth
bert,base,5,0.3639840301202268,0.3358564258229976,0.85196,0.8561449020401164,0.85196,0.8515238304653281,trained_models/sentiment_imdb/bert_base_e5_lr0.0005/20240923_141201_base.pth
bert,ate,5,0.38203119267151964,0.33412759264512937,0.8522,0.8563006637692391,0.8522,0.8517735154064939,trained_models/sentiment_imdb/bert_ate_e5_lr0.0005/20240923_174921_ate.pth
